DATE,CPALTT01CAM659N
1969-05-01,5.3763440000000005
1969-06-01,5.347594
1969-07-01,4.7619050000000005
1969-08-01,4.736842
1969-09-01,4.736842
1969-10-01,4.736842
1969-11-01,3.645833
1969-12-01,4.6875
1970-01-01,5.2083330000000005
1970-02-01,5.2083330000000005
1970-03-01,4.663212000000001
1970-04-01,3.571429
1970-05-01,3.571429
1970-06-01,3.0456849999999998
1970-07-01,3.5353529999999997
1970-08-01,3.015075
1970-09-01,2.512563
1970-10-01,2.512563
1970-11-01,2.512563
1970-12-01,0.9950249
1971-01-01,0.990099
1971-02-01,1.485149
1971-03-01,1.485149
1971-04-01,1.970443
1971-05-01,1.970443
1971-06-01,2.463054
1971-07-01,2.4390240000000003
1971-08-01,3.4146339999999995
1971-09-01,3.4313730000000002
1971-10-01,3.9215690000000003
1971-11-01,3.9215690000000003
1971-12-01,4.926108
1972-01-01,4.901961
1972-02-01,4.878049
1972-03-01,5.365854
1972-04-01,4.830918
1972-05-01,4.830918
1972-06-01,4.326923000000001
1972-07-01,4.7619050000000005
1972-08-01,4.716981
1972-09-01,5.687204
1972-10-01,5.1886790000000005
1972-11-01,5.1886790000000005
1972-12-01,5.164319
1973-01-01,5.607476999999999
1973-02-01,6.046512
1973-03-01,5.555555
1973-04-01,6.451613
1973-05-01,6.9124419999999995
1973-06-01,7.8341009999999995
1973-07-01,7.727272999999999
1973-08-01,8.108108999999999
1973-09-01,8.071749
1973-10-01,8.52018
1973-11-01,9.417041000000001
1973-12-01,9.375
1974-01-01,9.292035
1974-02-01,9.210526
1974-03-01,10.52632
1974-04-01,9.956710000000001
1974-05-01,11.63793
1974-06-01,11.53846
1974-07-01,10.970460000000001
1974-08-01,10.83333
1974-09-01,11.20332
1974-10-01,11.98347
1974-11-01,11.88525
1974-12-01,12.65306
1975-01-01,11.74089
1975-02-01,12.04819
1975-03-01,11.11111
1975-04-01,11.02362
1975-05-01,10.03861
1975-06-01,10.34483
1975-07-01,11.02662
1975-08-01,10.90226
1975-09-01,10.44776
1975-10-01,9.963099
1975-11-01,10.25641
1975-12-01,9.42029
1976-01-01,9.782608999999999
1976-02-01,9.318996
1976-03-01,9.285714
1976-04-01,8.865249
1976-05-01,8.421053
1976-06-01,7.986111
1976-07-01,7.191781
1976-08-01,6.101694999999999
1976-09-01,6.418919
1976-10-01,6.375839
1976-11-01,5.64784
1976-12-01,5.629139
1977-01-01,6.270626999999999
1977-02-01,6.229508
1977-03-01,7.189541999999999
1977-04-01,7.491857
1977-05-01,8.090615
1977-06-01,7.717042
1977-07-01,8.306709
1977-08-01,8.306709
1977-09-01,8.571428
1977-10-01,8.832808
1977-11-01,9.119497
1977-12-01,9.404388
1978-01-01,9.006211
1978-02-01,9.259259
1978-03-01,8.841463000000001
1978-04-01,8.484848
1978-05-01,8.682634
1978-06-01,9.253732000000001
1978-07-01,9.439528
1978-08-01,9.734513
1978-09-01,8.479532
1978-10-01,8.985507
1978-11-01,8.933717999999999
1978-12-01,8.595988
1979-01-01,8.547009
1979-02-01,9.039548
1979-03-01,9.243697000000001
1979-04-01,9.776536
1979-05-01,9.366391
1979-06-01,9.016394
1979-07-01,8.355795
1979-08-01,8.333333
1979-09-01,9.703503999999999
1979-10-01,9.042553
1979-11-01,9.523809
1979-12-01,9.762533
1980-01-01,9.711286999999999
1980-02-01,9.585492
1980-03-01,9.230769
1980-04-01,9.160305000000001
1980-05-01,9.3199
1980-06-01,10.02506
1980-07-01,9.950249000000001
1980-08-01,10.91811
1980-09-01,10.56511
1980-10-01,10.731710000000001
1980-11-01,11.11111
1980-12-01,11.05769
1981-01-01,12.20096
1981-02-01,12.05674
1981-03-01,12.676060000000001
1981-04-01,12.58741
1981-05-01,12.21198
1981-06-01,12.756260000000001
1981-07-01,12.89593
1981-08-01,12.52796
1981-09-01,12.66667
1981-10-01,12.77533
1981-11-01,12.173910000000001
1981-12-01,12.121210000000001
1982-01-01,11.30064
1982-02-01,11.39241
1982-03-01,11.45833
1982-04-01,11.38716
1982-05-01,11.90965
1982-06-01,11.313130000000001
1982-07-01,11.022039999999999
1982-08-01,10.53678
1982-09-01,10.25641
1982-10-01,9.960938
1982-11-01,9.689922
1982-12-01,9.266409
1983-01-01,8.237548
1983-02-01,7.575758
1983-03-01,7.28972
1983-04-01,6.69145
1983-05-01,5.504587
1983-06-01,5.444646
1983-07-01,5.415163
1983-08-01,5.57554
1983-09-01,5.008945
1983-10-01,4.973357
1983-11-01,4.416961
1983-12-01,4.593639
1984-01-01,5.486726
1984-02-01,5.457747
1984-03-01,4.529617
1984-04-01,4.878049
1984-05-01,4.695652
1984-06-01,4.302926
1984-07-01,4.109589
1984-08-01,3.5775129999999997
1984-09-01,3.74787
1984-10-01,3.384095
1984-11-01,3.8917089999999996
1984-12-01,3.716216
1985-01-01,3.5234900000000002
1985-02-01,3.6727879999999997
1985-03-01,3.666667
1985-04-01,3.8205980000000004
1985-05-01,4.152824
1985-06-01,3.960396
1985-07-01,4.111842
1985-08-01,4.111842
1985-09-01,4.105090000000001
1985-10-01,4.091653
1985-11-01,3.9087949999999996
1985-12-01,4.397394
1986-01-01,4.3760129999999995
1986-02-01,4.186796
1986-03-01,4.340836
1986-04-01,3.84
1986-05-01,4.146730000000001
1986-06-01,3.8095239999999997
1986-07-01,4.107425
1986-08-01,4.265403
1986-09-01,4.1009459999999995
1986-10-01,4.402516
1986-11-01,4.5454550000000005
1986-12-01,4.212169
1987-01-01,4.037267
1987-02-01,4.018547
1987-03-01,4.006163
1987-04-01,4.622496
1987-05-01,4.594181
1987-06-01,4.740061
1987-07-01,4.552352
1987-08-01,4.5454550000000005
1987-09-01,4.5454550000000005
1987-10-01,4.216867
1987-11-01,4.197901
1987-12-01,4.191617
1988-01-01,4.029851
1988-02-01,4.011887000000001
1988-03-01,4.296296
1988-04-01,3.976436
1988-05-01,3.953148
1988-06-01,3.9416059999999997
1988-07-01,3.9187230000000004
1988-08-01,3.913043
1988-09-01,4.057971
1988-10-01,4.33526
1988-11-01,4.028777
1988-12-01,3.87931
1989-01-01,4.304161
1989-02-01,4.571429
1989-03-01,4.5454550000000005
1989-04-01,4.532578
1989-05-01,5.070423
1989-06-01,5.196629
1989-07-01,5.307262000000001
1989-08-01,5.29986
1989-09-01,5.292479
1989-10-01,5.1246540000000005
1989-11-01,5.255878
1989-12-01,5.255878
1990-01-01,5.502063
1990-02-01,5.464481
1990-03-01,5.298913
1990-04-01,5.01355
1990-05-01,4.423593
1990-06-01,4.405875
1990-07-01,4.111406
1990-08-01,4.10596
1990-09-01,4.232804
1990-10-01,4.743083
1990-11-01,5.124836
1990-12-01,4.99343
1991-01-01,6.910039
1991-02-01,6.217617
1991-03-01,6.193548000000001
1991-04-01,6.193548000000001
1991-05-01,6.161746
1991-06-01,6.265985
1991-07-01,5.987261
1991-08-01,5.979644
1991-09-01,5.456853
1991-10-01,4.402516
1991-11-01,4.125
1991-12-01,3.754693
1992-01-01,1.585366
1992-02-01,1.585366
1992-03-01,1.579587
1992-04-01,1.7010939999999999
1992-05-01,1.330109
1992-06-01,1.083032
